ego_id,seed,arm,crossed,chosen_cost,bypass_cost,ratio
ego_1,6,ours-fuel,False,141898.666,124661.757,1.1383
ego_1,6,ours-augtime,False,171.592,138.692,1.2372
ego_0,6,ours-fuel,False,299523.97,262772.247,1.1399
ego_0,6,ours-augtime,False,608.987,487.215,1.2499
ego_2,6,ours-fuel,False,560722.576,520113.319,1.0781
ego_2,6,ours-augtime,False,687.144,583.781,1.1771
ego_5,6,ours-fuel,False,206889.156,129708.618,1.595
ego_3,6,ours-fuel,False,848274.919,655504.045,1.2941
ego_4,6,ours-fuel,False,158152.979,152149.119,1.0395
ego_5,6,ours-augtime,False,355.229,133.398,2.6629
ego_3,6,ours-augtime,False,890.573,606.636,1.4681
ego_4,6,ours-augtime,False,346.17,338.292,1.0233
ego_7,6,ours-fuel,False,234605.817,212370.485,1.1047
ego_7,6,ours-augtime,False,363.439,262.031,1.387
ego_6,6,ours-fuel,False,612409.609,572858.879,1.069
ego_6,6,ours-augtime,False,672.128,591.239,1.1368
ego_10,6,ours-fuel,False,167978.315,151806.876,1.1065
ego_8,6,ours-augtime,False,503.282,364.7,1.38
ego_10,6,ours-augtime,False,273.34,243.123,1.1243
ego_9,6,ours-fuel,False,372886.146,316172.92,1.1794
ego_9,6,ours-augtime,False,525.659,451.98,1.163
ego_8,6,ours-fuel,False,205432.377,173238.939,1.1858
ego_13,6,ours-fuel,False,71228.347,50360.387,1.4144
ego_13,6,ours-augtime,False,89.922,55.712,1.6141
ego_14,6,ours-fuel,False,170576.375,155771.052,1.095
ego_12,6,ours-fuel,False,366580.898,303005.365,1.2098
ego_14,6,ours-augtime,False,249.164,232.696,1.0708
ego_1,6,ablation,False,116.548,105.989,1.0996
ego_12,6,ours-augtime,False,698.194,469.426,1.4873
ego_0,6,ablation,False,434.918,418.343,1.0396
ego_18,6,ours-fuel,False,182965.431,132385.209,1.3821
ego_2,6,ablation,False,408.168,378.102,1.0795
ego_15,6,ours-fuel,False,242492.588,224749.623,1.0789
ego_18,6,ours-augtime,False,285.809,186.279,1.5343
ego_16,6,ours-fuel,False,885737.152,740659.135,1.1959
ego_15,6,ours-augtime,False,593.606,558.184,1.0635
ego_5,6,ablation,False,107.563,90.085,1.194
ego_16,6,ours-augtime,False,763.181,751.861,1.0151
ego_3,6,ablation,False,420.377,412.58,1.0189
ego_4,6,ablation,False,314.335,306.513,1.0255
ego_17,6,ours-fuel,False,611128.126,515187.423,1.1862
ego_17,6,ours-augtime,False,891.815,676.883,1.3175
ego_11,6,ours-fuel,False,709976.75,204372.048,3.4739
ego_7,6,ablation,False,234.872,230.553,1.0187
ego_20,6,ours-fuel,False,509107.191,447876.807,1.1367
ego_21,6,ours-fuel,False,340698.136,318153.821,1.0709
ego_19,6,ours-fuel,False,397657.273,157535.944,2.5242
ego_6,6,ablation,False,412.457,406.945,1.0135
ego_20,6,ours-augtime,False,775.031,507.058,1.5285
ego_21,6,ours-augtime,False,563.084,516.204,1.0908
ego_19,6,ours-augtime,False,710.212,367.264,1.9338
ego_8,6,ablation,False,249.136,230.944,1.0788
ego_10,6,ablation,False,133.218,121.756,1.0941
ego_11,6,ours-augtime,False,371.492,218.044,1.7037
ego_23,6,ours-fuel,False,340273.807,295001.754,1.1535
ego_9,6,ablation,False,316.081,255.698,1.2361
ego_11,6,ablation,False,133.285,96.621,1.3795
ego_23,6,ours-augtime,False,509.7,359.741,1.4169
ego_22,6,ours-fuel,False,744062.214,655497.643,1.1351
ego_13,6,ablation,False,31.321,24.899,1.2579
ego_22,6,ours-augtime,False,996.341,803.258,1.2404
ego_24,6,ours-fuel,False,519253.183,495513.654,1.0479
ego_24,6,ours-augtime,False,549.148,510.233,1.0763
ego_14,6,ablation,False,132.973,123.397,1.0776
ego_12,6,ablation,False,317.371,296.791,1.0693
ego_18,6,ablation,False,145.229,93.902,1.5466
ego_15,6,ablation,False,525.768,516.283,1.0184
ego_16,6,ablation,False,490.48,458.812,1.069
ego_17,6,ablation,False,431.834,387.29,1.115
ego_20,6,ablation,False,332.374,300.56,1.1058
ego_21,6,ablation,False,343.035,292.825,1.1715
ego_19,6,ablation,False,576.177,323.456,1.7813
ego_23,6,ablation,False,252.094,225.713,1.1169
ego_22,6,ablation,False,416.268,400.248,1.04
ego_24,6,ablation,False,352.335,348.737,1.0103
