vid,arm,seed,route_len,crosses_corridor,corridor_edges_in_route,route_edges
ego_0,ablation,1,47,True,-152534#2,152534#4|-152534#4|-152534#2|152535#6|152654#4|152670#3|152670#4|152282|-152290|-152761|-152291|-152800|-152292|-152794|152293|152385|-152206|152461|152311|152312#2|-152309|152318#1|152318#2|-152308|152281|152530|-152330#5|-152330#4|-152330#3|-152330#2|-152330#1|-152330#0|153637|152405|-153007#6|-153456#6|-153456#5|-153456#4|-153456#3|-153456#2|-153456#1|-153456#0|153451#5|153435#0|-152378#1|-152378#0|-152751#0
ego_1,ablation,1,58,True,-152534#2,152534#6|-152534#6|-152534#5|-152534#4|-152534#2|152535#6|152654#4|152670#3|152670#4|152282|-152290|-152761|-152291|-152800|-152292|-152794|152293|152385|-152206|152461|152311|152312#2|-152309|152318#1|152318#2|152318#3|152139|152137#0|152138|152968|-152270|-152418|-152958|153476#1|153476#2|153476#3|153476#5|153476#6|153476#7|153476#8|153476#9|153476#10|153476#11|153476#12|153476#13|153476#14|153476#15|153476#16|153476#17|153476#18|153476#19|153476#20|152919#0|-152922|-153010#0|-152920#2|153473#0|153469#0
ego_2,ablation,1,55,True,-152534#2,152534#7|-152534#7|-152534#6|-152534#5|-152534#4|-152534#2|152535#6|152654#4|152670#3|152677#0|152677#1|152677#2|152677#3|152677#4|152677#5|152650#0|152672#1|152948#0|152948#1|152688#1|152688#2|-152702#0|-152704|-152703|-152701#5|-152701#4|-152701#3|-152706#3|-152706#2|-152706#1|-152706#0|-152999|-152997|-153413#16|-153413#15|-153413#14|153415#0|153415#1|153331#0|153331#1|153331#2|153331#4|153331#5|153331#6|153331#7|153331#8|153331#9|153331#10|153331#11|153329#4|153329#5|-153412#4|-153412#3|-153420#7|-153420#6
ego_0,ablation,1,53,False,,153487#1|-153487#1|-153487#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|-153444#0|-153441#3|-153441#2|-153441#1|153443|152812#1|152812#2|152812#3|152812#4|152812#5|152814#8|152801|152782|153552#2|153552#3|-152827#1|-152827#0|152969#0|152969#1|152969#2|152969#3|-152795#1|152808|152959#3|152959#4|-152817#3|-152817#2|-152817#1|-152817#0|-152776
ego_1,ablation,1,17,False,,-152401|-153008#0|153476#10|153476#11|153476#12|153476#13|153476#14|153476#15|153476#16|153476#17|153476#18|153476#19|153476#20|152919#0|-152922|-153010#0|-152920#2
ego_2,ablation,1,43,False,,-153413#12|153413#12|153413#13|153415#0|153415#1|153331#0|153331#1|153331#2|153331#4|153331#5|153331#6|153331#7|153331#8|153331#9|153331#10|153331#11|153329#4|153329#5|153412#5|152251|153385#0|153385#1|152250|153383#0|153383#1|-153381#7|-153381#6|-153381#5|-153381#4|-153381#3|-153381#2|-153381#1|-153381#0|152512#1|152512#2|152512#3|-153371#4|-153371#3|-153371#2|-153371#1|-153371#0|-152247|-153370#1
ego_0,ablation,1,53,False,,153487#1|-153487#1|-153487#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|-153444#0|-153441#3|-153441#2|-153441#1|153443|152812#1|152812#2|152812#3|152812#4|152812#5|152814#8|152801|152782|153552#2|153552#3|-152827#1|-152827#0|152969#0|152969#1|152969#2|152969#3|-152795#1|152808|152959#3|152959#4|-152817#3|-152817#2|-152817#1|-152817#0|-152776
ego_1,ablation,1,17,False,,-152401|-153008#0|153476#10|153476#11|153476#12|153476#13|153476#14|153476#15|153476#16|153476#17|153476#18|153476#19|153476#20|152919#0|-152922|-153010#0|-152920#2
ego_2,ablation,1,43,False,,-153413#12|153413#12|153413#13|153415#0|153415#1|153331#0|153331#1|153331#2|153331#4|153331#5|153331#6|153331#7|153331#8|153331#9|153331#10|153331#11|153329#4|153329#5|153412#5|152251|153385#0|153385#1|152250|153383#0|153383#1|-153381#7|-153381#6|-153381#5|-153381#4|-153381#3|-153381#2|-153381#1|-153381#0|152512#1|152512#2|152512#3|-153371#4|-153371#3|-153371#2|-153371#1|-153371#0|-152247|-153370#1
ego_0,ablation,1,54,False,,153487#1|-153487#1|-153487#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|-153444#0|-153441#3|-153441#2|-153441#1|153443|152812#1|152812#2|152812#3|152812#4|152812#5|152814#8|152801|152782|153552#2|153552#3|-152827#1|-152827#0|152969#0|152969#1|152969#2|152969#3|-152795#1|152824#0|152809|152821#2|152959#4|-152817#3|-152817#2|-152817#1|-152817#0|-152776
