vid,arm,seed,route_len,crosses_corridor,corridor_edges_in_route,route_edges
ego_0,ours-augtime,1,65,True,-152534#2,152534#4|-152534#4|-152534#2|-152534#0|-152654#2|-152662|-152289|-152762|-152787#2|-152787#1|-152787#0|-152140|-152816#4|-152816#3|-152816#2|-152816#1|-152816#0|-152818#3|-152818#2|-152818#1|-152802|152135#0|152135#1|153273#1|153273#2|152960#10|152959#2|152959#3|-152821#2|-152809|152824#1|152137#7|-152139|152318#4|152318#1|152318#2|-152308|152281|152530|-152330#5|-152330#4|-152330#3|-152330#2|-152330#1|152404#0|152404#1|153501|153455#0|153455#1|-152904#0|-152409#1|-152409#0|-152908#7|-152908#6|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|-153433#0|-153451#6|153435#0|-152378#1|-152378#0|-152751#0
ego_1,ours-augtime,1,68,True,-152534#2,152534#6|-152534#6|-152534#5|-152534#4|-152534#2|-152534#0|-152654#2|-152662|-152289|-152762|-152787#2|-152787#1|-152787#0|-152140|-152816#4|-152816#3|-152816#2|-152816#1|-152816#0|-152818#3|-152818#2|-152818#1|-152802|152135#0|152135#1|153273#1|153273#2|152960#10|152959#2|152959#3|-152821#2|-152809|152824#1|152137#7|152137#0|152137#1|-152538#1|-152538#0|-152958|153476#1|153476#2|153476#3|153476#5|153476#6|153476#7|153476#8|153476#9|153476#10|153476#11|-153462#5|-153462#4|-153462#3|-153462#2|-153462#1|-153462#0|153476#14|153476#15|153476#16|153476#17|153476#18|153476#19|153476#20|152919#0|-152922|-153010#0|-152920#2|153473#0|153469#0
ego_2,ours-augtime,1,50,True,-152534#2,152534#7|-152534#7|-152534#6|-152534#5|-152534#4|-152534#2|-152534#0|-152654#2|-152662|-152289|-152762|-152787#2|-152787#1|-152787#0|-152810#2|-152810#1|-152810#0|152770|-152650#1|152688#0|152688#1|152688#2|-152702#0|-152704|-152703|-152701#5|152491#0|152491#1|152491#2|152491#3|-152712|-152711#0|-152715|152707#0|152707#1|153404#1|153404#2|153124#0|153124#1|153256|153410#1|153125|-153423#1|-153423#0|152254|153412#0|153412#1|153412#2|-153420#7|-153420#6
ego_0,ours-augtime,1,59,False,,153487#1|-153487#1|-153487#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|153444#2|153444#3|153444#4|152836#0|152836#1|152836#2|152836#3|152836#4|-152830#2|153080|152812#2|152812#3|152812#4|152812#5|152814#8|152801|152782|153552#2|153552#3|-152827#1|-152827#0|152791|152796#0|152796#1|153549#2|152825#0|152825#1|152960#10|152959#2|152959#3|152959#4|-152817#3|-152817#2|-152817#1|-152817#0|-152776
ego_1,ours-augtime,1,17,False,,-152401|-153008#0|153476#10|153476#11|153476#12|153476#13|153476#14|153476#15|153476#16|153476#17|153476#18|153476#19|153476#20|152919#0|-152922|-153010#0|-152920#2
ego_2,ours-augtime,1,47,False,,-153413#12|-153413#11|-153413#10|-153413#9|-153413#8|-153413#7|-153413#6|-153413#5|-153413#4|-153413#3|-153413#1|-153413#0|153399#0|153399#1|152933#4|152933#0|-153374#14|-153374#13|-153374#12|-153374#11|-153374#10|-153374#9|-153374#8|-153374#7|-153374#6|153098#1|152600|-153023#0|-153383#2|-153381#7|-153381#6|-153381#5|-153381#4|-153381#3|-153381#2|-153381#1|-153381#0|152512#1|152512#2|152512#3|-153371#4|-153371#3|-153371#2|-153371#1|-153371#0|-152247|-153370#1
ego_0,ours-augtime,1,59,False,,153487#1|-153487#1|-153487#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|153444#2|153444#3|153444#4|152836#0|152836#1|152836#2|152836#3|152836#4|-152830#2|153080|152812#2|152812#3|152812#4|152812#5|152814#8|152801|152782|153552#2|153552#3|-152827#1|-152827#0|152791|152796#0|152796#1|153549#2|152825#0|152825#1|152960#10|152959#2|152959#3|152959#4|-152817#3|-152817#2|-152817#1|-152817#0|-152776
ego_1,ours-augtime,1,17,False,,-152401|-153008#0|153476#10|153476#11|153476#12|153476#13|153476#14|153476#15|153476#16|153476#17|153476#18|153476#19|153476#20|152919#0|-152922|-153010#0|-152920#2
ego_2,ours-augtime,1,47,False,,-153413#12|-153413#11|-153413#10|-153413#9|-153413#8|-153413#7|-153413#6|-153413#5|-153413#4|-153413#3|-153413#1|-153413#0|153399#0|153399#1|152933#4|152933#0|-153374#14|-153374#13|-153374#12|-153374#11|-153374#10|-153374#9|-153374#8|-153374#7|-153374#6|153098#1|152600|-153023#0|-153383#2|-153381#7|-153381#6|-153381#5|-153381#4|-153381#3|-153381#2|-153381#1|-153381#0|152512#1|152512#2|152512#3|-153371#4|-153371#3|-153371#2|-153371#1|-153371#0|-152247|-153370#1
ego_0,ours-augtime,1,58,False,,153487#1|-153487#1|-153487#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|153444#2|153444#3|153444#4|152836#0|152836#1|152836#2|152836#3|152836#4|-152830#2|153080|152812#2|152812#3|152812#4|152812#5|152814#8|152801|152782|153552#2|153552#3|-152827#1|-152827#0|152969#0|152969#1|152969#2|152969#3|-152795#1|152824#0|152809|152821#2|152959#4|-152817#3|-152817#2|-152817#1|-152817#0|-152776
