edge_id,length_m,speed_limit_mps,cost_mode,baseline_source,locked,n_traversal_samples,baseline_mg_traversal,avg_speed,occupancy,fuel_consumption,t_actual,C,F,S,multiplier,augtime_weight,fuel_warm,weight
-152134,44.95,13.89,fuel,preseed,False,0,782.061,13.89,0.0,0.0,3.2361,0.0,0.0,0.0,1.0,3.2361,False,2530.8593
152758,52.24,13.89,fuel,preseed,False,2,782.061,13.89,0.0,0.0,3.761,0.0,0.0,0.0,1.0,3.761,True,2941.3145
152768,73.23,13.89,fuel,preseed,False,0,782.061,13.89,0.0,0.0,5.2721,0.0,0.0,0.0,1.0,5.2721,False,4123.1329
152134,44.93,13.89,fuel,preseed,False,2,782.061,13.89,0.0,0.0,3.2347,0.0,0.0,0.0,1.0,3.2347,True,2529.7332
153273#0,80.94,13.89,fuel,preseed,False,0,782.061,13.89,0.0,0.0,5.8272,0.0,0.0,0.0,1.0,5.8272,False,4557.2358
-152135#0,22.08,13.89,fuel,preseed,False,2,782.061,13.89,0.0,0.0,1.5896,0.0,0.0,0.0,1.0,1.5896,True,1243.1896
152135#1,7.29,13.89,fuel,preseed,False,0,782.061,13.89,0.0,0.0,0.5248,0.0,0.0,0.0,1.0,0.5248,False,410.4553
-152768,72.86,13.89,fuel,preseed,False,0,782.061,13.89,0.0,0.0,5.2455,0.0,0.0,0.0,1.0,5.2455,False,4102.3005
152135#0,22.08,13.89,fuel,preseed,False,0,782.061,13.89,0.0,0.0,1.5896,0.0,0.0,0.0,1.0,1.5896,False,1243.1896
152802,33.74,13.89,fuel,preseed,False,2,782.061,13.89,0.0,0.0,2.4291,0.0,0.0,0.0,1.0,2.4291,True,1899.6928
-152135#1,7.28,13.89,fuel,preseed,False,2,782.061,13.89,0.0,0.0,0.5241,0.0,0.0,0.0,1.0,0.5241,True,409.8922
-153273#0,80.94,13.89,fuel,preseed,False,2,782.061,13.89,0.0,0.0,5.8272,0.0,0.0,0.0,1.0,5.8272,True,4557.2358
153273#1,5.5,13.89,fuel,preseed,False,0,782.061,13.89,0.0,0.0,0.396,0.0,0.0,0.0,1.0,0.396,False,309.6713
-152139,31.18,27.78,fuel,ema_unlocked,False,4,958.725,27.78,0.0,0.0,1.1224,0.0,0.0,0.0,1.0,1.1224,True,1076.0634
152137#0,5.97,13.89,fuel,ema_unlocked,False,10,1228.917,13.89,0.0,2055.069,0.4298,0.0,1.0,0.0,9.0,3.8683,True,528.1956
152139,31.08,27.78,fuel,ema_unlocked,False,6,916.263,27.78,0.0,6701.073,1.1188,0.0,1.0,0.0,9.0,10.0691,True,1025.1063
152318#4,13.38,27.78,fuel,ema_unlocked,False,8,380.773,27.407,0.0031,1865.809,0.4882,0.0,1.0,0.0,9.0,4.3938,True,185.8934
-152146,147.01,13.89,fuel,preseed,False,0,782.061,13.89,0.0,0.0,10.5839,0.0,0.0,0.0,1.0,10.5839,False,8277.233
-153421#1,54.22,13.89,fuel,preseed,False,0,782.061,13.89,0.0,0.0,3.9035,0.0,0.0,0.0,1.0,3.9035,False,3052.7962
152369,147.64,13.89,fuel,preseed,False,0,782.061,13.89,0.0,0.0,10.6292,0.0,0.0,0.0,1.0,10.6292,False,8312.7044
