seed,trip,arm,origin,dest,arrived,fuel_abs,fuel_per_km,duration,CO2_abs,waitingTime,stops,timeLoss,routeLength,reroutes,bg_vcount_at_depart,bg_possum_at_depart
1,0,sumo,153452#0,-152457#0,True,,,,,,,,,121,,
1,1,sumo,-153395,152996#8,False,,,,,,,,,76,,
1,2,sumo,-152574#0,153354#1,True,,,,,,,,,95,,
1,3,sumo,152487#2,152761,True,,,,,,,,,97,,
1,4,sumo,152740,-153421#2,True,,,,,,,,,75,,
1,5,sumo,-153427#3,153437,False,,,,,,,,,9,,
1,6,sumo,153567,152176#1,True,,,,,,,,,83,,
1,7,sumo,153332#2,-152912#2,True,,,,,,,,,94,,
1,8,sumo,-153567,153380#1,True,,,,,,,,,105,,
1,9,sumo,-152376,-152796#1,False,,,,,,,,,82,,
1,10,sumo,-152732,-153372#3,True,,,,,,,,,65,,
1,11,sumo,-152977,152715,True,,,,,,,,,84,,
1,12,sumo,-152849,-153060,True,,,,,,,,,72,,
1,13,sumo,152372,152422#1,True,,,,,,,,,79,,
1,14,sumo,153452#2,153413#12,True,,,,,,,,,95,,
1,15,sumo,153027,-152938#1,True,,,,,,,,,97,,
1,16,sumo,-152570,152550,True,,,,,,,,,112,,
1,17,sumo,152750#1,-153421#4,True,,,,,,,,,83,,
1,18,sumo,152961,-153648,True,,,,,,,,,83,,
1,19,sumo,-153457,-153403,True,,,,,,,,,83,,
1,20,sumo,152851#1,-153381#2,True,,,,,,,,,80,,
1,21,sumo,153479#9,-153391#1,True,,,,,,,,,80,,
1,22,sumo,-153482#1,152558#6,True,,,,,,,,,68,,
1,23,sumo,-153570,-153033#0,False,,,,,,,,,10,,
1,24,sumo,-152739,-153006#0,True,,,,,,,,,63,,
1,25,sumo,-153435#0,-152664#0,True,,,,,,,,,113,,
1,26,sumo,152639,153366#1,True,,,,,,,,,69,,
1,27,sumo,152931#3,-153329#2,False,,,,,,,,,7,,
1,28,sumo,-152750#2,153023#1,True,,,,,,,,,73,,
1,29,sumo,-153332#0,-152894#0,False,,,,,,,,,68,,
1,30,sumo,-152851#2,-152449,False,,,,,,,,,68,,
1,31,sumo,153000,153415#2,True,,,,,,,,,79,,
1,32,sumo,-152843#2,153040#1,True,,,,,,,,,72,,
1,33,sumo,-153569#1,153365#0,False,,,,,,,,,80,,
1,34,sumo,152428,-152830#2,True,,,,,,,,,74,,
1,35,sumo,-152372,153628#1,True,,,,,,,,,75,,
1,36,sumo,153064,152670#4,True,,,,,,,,,119,,
1,37,sumo,-153048#1,-153039,False,,,,,,,,,40,,
1,38,sumo,152427,153337,True,,,,,,,,,86,,
1,39,sumo,-152737#0,-152561,False,,,,,,,,,10,,
1,40,sumo,-152413#0,152354#0,False,,,,,,,,,10,,
1,41,sumo,-152624#1,-153374#4,True,,,,,,,,,84,,
1,42,sumo,153435#0,152480,False,,,,,,,,,105,,
1,43,sumo,152846,-153381#4,True,,,,,,,,,91,,
1,44,sumo,153456#5,152337,True,,,,,,,,,91,,
1,45,sumo,152644,152827#1,True,,,,,,,,,111,,
1,46,sumo,-153050#0,153423#3,True,,,,,,,,,72,,
1,47,sumo,-152732,152627#1,True,,,,,,,,,22,,
1,48,sumo,153043#0,-152817#0,False,,,,,,,,,14,,
1,49,sumo,152841#1,-153549#1,False,,,,,,,,,102,,
1,0,ours,153452#0,-152457#0,True,,,,,,,,,1,,
1,1,ours,-153395,152996#8,True,,,,,,,,,0,,
1,2,ours,-152574#0,153354#1,True,,,,,,,,,0,,
1,3,ours,152487#2,152761,True,,,,,,,,,0,,
1,4,ours,152740,-153421#2,True,,,,,,,,,0,,
1,5,ours,-153427#3,153437,True,,,,,,,,,0,,
1,6,ours,153567,152176#1,True,,,,,,,,,0,,
1,7,ours,153332#2,-152912#2,False,,,,,,,,,0,,
1,8,ours,-153567,153380#1,True,,,,,,,,,0,,
1,9,ours,-152376,-152796#1,True,,,,,,,,,0,,
1,10,ours,-152732,-153372#3,False,,,,,,,,,0,,
1,11,ours,-152977,152715,True,,,,,,,,,0,,
1,12,ours,-152849,-153060,True,,,,,,,,,0,,
1,13,ours,152372,152422#1,True,,,,,,,,,0,,
1,14,ours,153452#2,153413#12,True,,,,,,,,,0,,
1,15,ours,153027,-152938#1,True,,,,,,,,,0,,
1,16,ours,-152570,152550,True,,,,,,,,,0,,
1,17,ours,152750#1,-153421#4,True,,,,,,,,,0,,
1,18,ours,152961,-153648,True,,,,,,,,,0,,
1,19,ours,-153457,-153403,True,,,,,,,,,0,,
1,20,ours,152851#1,-153381#2,True,,,,,,,,,0,,
1,21,ours,153479#9,-153391#1,True,,,,,,,,,0,,
1,22,ours,-153482#1,152558#6,True,,,,,,,,,0,,
1,23,ours,-153570,-153033#0,False,,,,,,,,,0,,
1,24,ours,-152739,-153006#0,False,,,,,,,,,0,,
1,25,ours,-153435#0,-152664#0,True,,,,,,,,,0,,
1,26,ours,152639,153366#1,True,,,,,,,,,0,,
1,27,ours,152931#3,-153329#2,False,,,,,,,,,0,,
1,28,ours,-152750#2,153023#1,True,,,,,,,,,0,,
1,29,ours,-153332#0,-152894#0,True,,,,,,,,,0,,
1,30,ours,-152851#2,-152449,True,,,,,,,,,0,,
1,31,ours,153000,153415#2,True,,,,,,,,,0,,
1,32,ours,-152843#2,153040#1,True,,,,,,,,,0,,
