seed,trip,arm,origin,dest,arrived,fuel_abs,fuel_per_km,duration,CO2_abs,waitingTime,stops,timeLoss,routeLength,reroutes,bg_vcount_at_depart,bg_possum_at_depart
1,0,ablation,153452#0,-152457#0,True,412117.35,38371.87118543699,918.25,1291681.18,0.0,0,55.27,10740.09,0,228,43124.5
1,1,ablation,-153395,152996#8,True,538615.72,65072.99899723332,669.25,1688220.7,1.5,1,75.13,8277.1,0,230,44854.2
1,2,ablation,-152574#0,153354#1,True,293801.28,37087.78582591287,561.25,920863.04,0.0,0,91.06,7921.78,0,243,48803.0
1,3,ablation,152487#2,152761,True,782868.83,84278.31251500416,1061.0,2453925.35,302.25,2,398.26,9289.09,0,248,54998.6
1,4,ablation,152740,-153421#2,True,348968.89,56000.8745901863,538.0,1093810.44,0.0,0,52.1,6231.49,0,253,64266.7
1,5,ablation,-153427#3,153437,True,477097.21,73676.59476554923,953.0,1495532.11,300.25,1,351.84,6475.56,0,249,69665.7
1,6,ablation,153567,152176#1,True,319805.22,61209.20075256613,459.0,1002412.45,0.0,0,44.65,5224.79,0,247,70294.0
1,7,ablation,153332#2,-152912#2,True,503269.45,59474.33573309257,583.25,1577412.2,0.0,0,82.67,8461.96,0,234,66281.6
1,8,ablation,-153567,153380#1,True,542481.83,59208.36366613004,775.0,1700349.41,0.0,0,96.36,9162.25,0,224,60254.3
1,9,ablation,-152376,-152796#1,True,611439.79,95177.72512954942,1114.75,1916686.53,600.5,2,623.66,6424.19,0,231,43518.4
