seed,trip,arm,origin,dest,arrived,fuel_abs,fuel_per_km,duration,CO2_abs,waitingTime,stops,timeLoss,routeLength,reroutes,bg_vcount_at_depart,bg_possum_at_depart
4,0,ablation,153487#1,-152776,True,313119.89,45768.79529448909,707.5,981413.86,0.0,0,48.34,6841.34,0,225,45064.8
4,1,ablation,-152401,-153473#0,True,142756.61,78512.32765210886,184.5,447444.77,0.0,0,13.05,1818.27,0,228,45257.8
4,2,ablation,-153413#12,-153370#1,True,585628.75,93198.07597434633,540.25,1835545.18,0.0,0,37.34,6283.7,0,242,41993.8
4,3,ablation,-152883#0,-152743#1,True,864254.55,117370.71295287814,503.75,2708870.11,6.75,1,69.86,7363.46,0,244,49206.3
4,4,ablation,153327#1,-152682#1,True,258035.38,51784.48966158058,438.0,808767.74,5.25,1,67.73,4982.87,0,253,57729.9
4,5,ablation,153405#1,152690,True,253584.45,139933.36754627022,192.25,794849.67,0.0,0,41.3,1812.18,0,246,68942.3
4,6,ablation,-152443,-152427,True,633581.31,100913.48993224454,531.0,1985867.71,15.25,1,51.86,6278.46,0,244,66108.8
4,7,ablation,-152712,-153363#0,True,234120.01,62453.15346797449,345.0,733791.17,0.25,1,27.22,3748.73,0,231,63628.4
4,8,ablation,-153383#2,152960#6,True,226514.89,55677.609731757264,359.5,709962.24,9.0,1,50.48,4068.33,0,213,56591.5
4,9,ablation,153572#0,153327#0,True,412801.76,87491.1799178078,405.25,1293848.26,0.0,0,30.15,4718.21,0,226,47037.4
4,10,ablation,152677#1,-153365#1,True,192859.38,89813.15487999105,185.75,604489.91,0.0,0,24.6,2147.34,0,236,45470.6
4,11,ablation,152789#0,153401,True,253471.96,114610.73707151867,223.75,794489.48,16.25,2,50.98,2211.59,0,235,55480.5
4,12,ablation,-153476#17,-152284,True,420262.14,76796.6778744244,493.0,1317247.51,24.25,2,72.34,5472.4,0,247,57085.5
4,13,ablation,-152939#5,152693#1,True,95799.08,173351.21147965186,68.0,300284.3,0.0,0,19.07,552.63,0,256,48233.7
4,14,ablation,152398#3,-153476#16,True,199838.04,91147.445575082,203.25,626358.99,0.0,0,18.42,2192.47,0,253,51801.9
4,15,ablation,-152930,-153355#4,True,328213.89,40329.58889398142,667.5,1028672.64,0.0,0,29.66,8138.29,0,244,46623.5
4,16,ablation,152385,-152742,True,863942.73,110678.17035831872,554.0,2707886.18,0.0,0,46.29,7805.9,0,246,60144.9
4,17,ablation,-152725#0,152483#0,True,640852.99,98296.5171122724,492.0,2008665.6,0.0,0,51.57,6519.59,0,242,75677.4
4,18,ablation,152413#1,153427#10,True,236122.22,94538.13199660479,232.75,740092.32,0.0,0,22.58,2497.64,0,238,64090.1
4,19,ablation,-153451#0,-152492,True,445105.05,50223.19222254567,680.0,1395043.78,0.0,0,25.03,8862.54,0,235,51022.5
4,20,ablation,152817#3,153056,True,556754.59,103659.77717288093,521.5,1745076.91,10.0,1,56.82,5370.98,0,238,53959.3
4,21,ablation,-152830#0,152556,True,373614.5,68423.4286206145,475.75,1171013.1,0.0,0,28.03,5460.33,0,233,58392.9
4,22,ablation,-152657#2,153332#2,True,821628.17,123536.94629424422,602.25,2575315.36,26.0,2,99.84,6650.87,0,245,53753.2
4,23,ablation,-153553,153475#2,True,360667.8,87096.78821540691,399.75,1130458.29,0.0,0,37.77,4141.0,0,269,55230.0
4,24,ablation,153454#0,152489#3,True,555466.17,102360.45420956517,379.25,1741029.08,0.0,0,50.04,5426.57,0,274,69641.8
5,0,ablation,153487#1,-152776,True,336055.0,49121.224789295666,532.75,1053283.69,0.0,0,62.86,6841.34,0,219,40452.4
5,1,ablation,-152401,-153473#0,True,143855.04,79116.43485290963,154.5,450882.54,0.0,0,14.68,1818.27,0,229,45144.4
5,2,ablation,-153413#12,-153370#1,True,583265.63,92822.00455145854,545.0,1828140.31,0.0,0,37.13,6283.7,0,239,46007.7
5,3,ablation,-152883#0,-152743#1,True,840629.73,114162.32722117048,578.25,2634829.22,0.0,0,64.31,7363.46,0,241,55697.9
5,4,ablation,153327#1,-152682#1,True,252611.99,50696.08277960292,431.0,791762.9,0.0,0,54.57,4982.87,0,248,58357.4
5,5,ablation,153405#1,152690,True,267217.1,147456.15777682126,200.5,837584.93,11.5,1,56.32,1812.18,0,240,59466.1
5,6,ablation,-152443,-152427,True,632128.89,100682.156133829,522.0,1981313.43,16.25,1,53.13,6278.46,0,245,77222.4
5,7,ablation,-152712,-153363#0,True,229903.59,61328.393882728284,334.5,720577.01,0.0,0,26.01,3748.73,0,233,65817.1
5,8,ablation,-153383#2,152960#6,True,229467.93,56403.470219967414,379.0,719224.01,13.0,1,55.73,4068.33,0,215,59955.4
5,9,ablation,153572#0,153327#0,True,420805.77,89187.58808955092,453.5,1318947.42,0.0,0,28.83,4718.21,0,226,41258.3
5,10,ablation,152677#1,-153365#1,True,194742.54,90690.12825169745,181.0,610392.08,0.0,0,25.21,2147.34,0,239,52353.5
5,11,ablation,152789#0,153401,True,238115.81,107667.24845021003,228.75,746351.82,4.5,1,35.06,2211.59,0,239,52533.8
5,12,ablation,-153476#17,-152284,True,400845.72,73248.61486733425,477.25,1256377.53,1.25,1,47.16,5472.4,0,238,43676.0
5,13,ablation,-152939#5,152693#1,True,102610.29,185676.29336083817,77.5,321637.47,5.0,1,30.37,552.63,0,262,52346.6
5,14,ablation,152398#3,-153476#16,True,199568.78,91024.6343165471,201.75,625515.06,0.0,0,17.94,2192.47,0,261,55639.9
5,15,ablation,-152930,-153355#4,True,334351.6,41083.765754230924,695.25,1047910.55,0.0,0,29.62,8138.29,0,248,49622.6
5,16,ablation,152385,-152742,True,894790.28,114545.6184032823,521.5,2804578.08,8.5,1,66.3,7811.65,0,247,54706.7
5,17,ablation,-152725#0,152483#0,True,634481.93,97319.29921973622,533.25,1988701.4,0.0,0,48.69,6519.59,0,244,76823.3
5,18,ablation,152413#1,153427#10,True,240869.99,96439.0344485194,209.75,754969.98,0.0,0,24.95,2497.64,0,240,58817.6
5,19,ablation,-153451#0,-152492,True,444344.65,50132.64127229116,639.75,1392650.18,0.0,0,25.32,8863.38,0,244,58357.9
5,20,ablation,152817#3,153056,True,568831.49,105908.32399301432,599.75,1782945.6,8.75,1,51.05,5370.98,0,238,57682.8
5,21,ablation,-152830#0,152556,True,368858.37,67552.3951849064,408.25,1156095.47,0.0,0,28.82,5460.33,0,234,46514.6
5,22,ablation,-152657#2,153332#2,True,825212.17,124075.8231629847,656.5,2586558.72,32.25,2,106.36,6650.87,0,252,65044.5
5,23,ablation,-153553,153475#2,True,381689.76,92173.33011349916,315.5,1196338.08,0.0,0,46.03,4141.0,0,264,56187.2
5,24,ablation,153454#0,152489#3,True,561200.04,103417.08298243643,472.0,1759016.92,15.25,1,49.51,5426.57,0,264,67276.3
6,0,ablation,153487#1,-152776,True,336611.89,49202.62550903771,543.75,1055030.65,4.5,1,64.59,6841.34,0,225,37607.6
6,1,ablation,-152401,-153473#0,True,150090.89,82545.98601967805,187.25,470436.9,11.5,1,26.27,1818.27,0,225,44069.4
6,2,ablation,-153413#12,-153370#1,True,582288.07,92666.43378900965,497.5,1825066.04,0.0,0,40.04,6283.7,0,232,37587.2
6,3,ablation,-152883#0,-152743#1,True,859421.65,116714.377480152,567.5,2693735.14,7.5,2,72.96,7363.46,0,238,56081.7
6,4,ablation,153327#1,-152682#1,True,238501.42,47864.26697866892,471.0,747538.51,0.0,0,50.41,4982.87,0,256,61013.3
6,5,ablation,153405#1,152690,True,254103.23,140219.64153671268,258.5,796485.59,11.0,2,46.54,1812.18,0,241,59187.7
6,6,ablation,-152443,-152427,True,623841.6,99362.2002847832,524.5,1955336.07,1.25,1,37.89,6278.46,0,241,63556.3
6,7,ablation,-152712,-153363#0,True,251228.0,67016.82969965828,303.0,787415.95,17.75,1,48.46,3748.73,0,232,69357.9
6,8,ablation,-153383#2,152960#6,True,233344.54,57356.34523256472,380.0,731377.59,15.25,2,60.11,4068.33,0,221,67264.3
6,9,ablation,153572#0,153327#0,True,410541.03,87012.02998594807,406.25,1286761.9,0.0,0,30.73,4718.21,0,226,43835.8
6,10,ablation,152677#1,-153365#1,True,191234.8,89056.60025892498,195.25,599398.47,0.0,0,22.9,2147.34,0,237,48432.6
6,11,ablation,152789#0,153401,True,234155.3,105876.45087923168,220.0,733937.0,0.0,0,29.56,2211.59,0,241,54641.1
