trip,arm,origin,dest,arrived,duration_s,fuel_mg,reroutes,driven_edges,bg_vcount_at_depart,bg_possum_at_depart
2,,-152574#0,153354#1,True,918.0,550580.3530139863,0,-152574#0|-152624#3|-152624#2|-152624#1|-152624#0|152732|153490#0|153490#1|153490#2|153490#3|153490#4|153490#5|153387#0|153387#1|153387#2|153387#3|153387#4|-152628#0|-153384#1|-153384#0|153563|-152176#0|153383#1|153383#2|153023#0|153023#1|153023#2|153023#3|-153374#0|-152215|-152566#1|153368#0|153368#1|-153372#2|-153372#1|-153372#0|152558#1|152558#2|152558#3|152558#5|152558#6|153359#0|153359#1|153354#0|153354#1,243,48803.0
4,,152740,-153421#2,True,680.25,425042.45867324044,1,152740|152374#2|152840|153427#9|153427#10|153427#11|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|153424#1|152732|153490#0|153490#1|153490#2|153490#3|153490#4|153490#5|153387#0|-153392#1|-153392#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|-153444#0|153440#1|153440#2|153440#3|153440#4|153440#5|153440#6|-152255#1|-152255#0|-153423#4|-153423#3|-153423#2|-153423#1|-153421#4|-153421#3|-153421#2,253,65025.5
6,,153567,152176#1,True,573.5,408968.03066308907,0,153567|-152750#2|-152487#3|-152489#3|-152489#2|-152489#1|-152489#0|-152572#6|-152572#5|-152572#4|-152977|-152624#1|-152624#0|152732|153490#0|153490#1|153490#2|153490#3|153490#4|153490#5|153387#0|153387#1|153387#2|153387#3|153387#4|-152628#0|-153384#1|-153384#0|-152177|-152176#2,247,67984.5
1,,-153395,152996#8,True,1659.25,1201383.7599995185,2,-153395|-152252|-152413#3|-152413#2|-152413#1|-152413#0|152412|152444#1|-153435#3|-153435#2|-152751#2|152378#0|-153435#0|153451#6|153451#7|153433#1|153424#1|152732|153490#0|153490#1|153490#2|153490#3|153490#4|153490#5|153387#0|153387#1|153387#2|153387#3|153387#4|153387#5|153387#6|153420#0|153420#1|153420#2|153420#3|152725#3|153423#1|153423#2|153410#0|153410#1|153410#2|153410#3|153410#4|153403|153408|153416|153402|153409|-153415#5|-153415#4|-153415#3|-153415#2|153331#0|153331#1|153331#2|153331#4|153331#5|153331#6|152996#2|152996#3|152996#4|152996#5|152996#6|152996#7|152996#8,230,44854.2
5,,-153427#3,153437,True,1252.5,694023.8714725833,3,-153427#3|153427#3|153427#4|153427#5|153427#6|153427#7|153427#9|153427#10|153427#11|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|-153392#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|-153444#0|-153441#3|-153441#2|153446|152812#3|152812#4,248,70140.5
12,,-152849,-153060,True,494.25,442331.1916927731,1,-152849|-153007#0|-152931#0|-152908#7|-152908#6|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|-153381#7|-153381#6|153059#0|152441#0,248,52621.7
10,,-152732,-153372#3,True,839.0,446145.101995901,0,-152732|-153424#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|153387#3|153387#4|-152628#0|-153384#1|-153384#0|153563|-152176#0|153383#1|153383#2|153023#0|153023#1|153023#2|153023#3|-153374#0|-152215|-152566#1|153368#0|153368#1,242,43301.8
7,,153332#2,-152912#2,True,1691.5,1078535.7607507121,0,153332#2|153427#11|152908#6|152908#7|152931#0|153007#0|153007#2|153007#3|153007#4|153007#5|153007#6|152330#0|152330#1|152330#2|152330#3|152330#4|-152902#6|-152902#5|-152902#4|-152902#3|-152902#2|-152902#1|-152902#0|-153008#7|-153008#6|153453#1|153453#2|152893#1|153476#3|153476#5|152984#0|152984#1|153339#1|-152912#4|-152912#3|-152912#2,235,66326.2
17,,152750#1,-153421#4,True,760.25,515730.3957261986,3,152750#1|-152487#3|-152489#3|-152489#2|-152489#1|-152489#0|-152572#6|-152572#5|-152572#4|-152977|-152624#1|-152624#0|-153424#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|-153383#0|-152250|-153385#1|-153385#0|-152251|-153412#5|-153412#4|-153412#3|-153412#2|-153412#1|-153412#0|-152254|153423#0|-153421#4,249,75531.3
11,,-152977,152715,True,1553.0,900083.9594477423,4,-152977|-152624#1|-152624#0|-153424#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|153387#3|153387#4|-152628#0|-153384#1|-153384#0|-152177|-152176#2|152355#0|152591#1|152591#2|152591#3|152591#4|152591#5|152933#2|152933#3|-153399#1|-153399#0|153413#0|153413#1|153413#3|153413#4|153413#5|153413#6|153413#7|153413#8|153649#0|153649#1|-153418|-152693#2|-152491#5|-152712,243,58590.3
