trip,seed,routing,origin,dest,arrived,duration_s,fuel_mg,reroutes,pre_inject_vcount,pre_inject_possum
0,1,sumo,153452#0,-152457#0,True,904.5,427173.3271602584,121,534,81947.0
1,1,sumo,-153395,152996#8,False,,446228.6900978834,76,559,90020.2
2,1,sumo,-152574#0,153354#1,True,711.0,266482.0818402763,95,559,85800.1
3,1,sumo,152487#2,152761,True,723.5,567438.2900795252,97,595,100889.8
4,1,sumo,152740,-153421#2,True,556.75,346725.53313115553,75,612,106980.7
5,1,sumo,-153427#3,153437,False,,63269.02470975538,9,612,113608.9
6,1,sumo,153567,152176#1,True,617.5,447100.6022560436,83,617,117916.8
7,1,sumo,153332#2,-152912#2,True,699.75,451537.22104132356,94,624,112295.8
8,1,sumo,-153567,153380#1,True,783.0,603714.6987093942,105,625,105085.4
9,1,sumo,-152376,-152796#1,False,,240400.66346155532,82,633,102816.5
10,1,sumo,-152732,-153372#3,True,487.0,216512.10984860398,65,645,99713.7
11,1,sumo,-152977,152715,True,629.5,259333.8629575064,84,631,113476.2
12,1,sumo,-152849,-153060,True,536.75,486801.1683761491,72,642,107879.5
13,1,sumo,152372,152422#1,True,591.75,371270.51261792175,79,667,98946.7
14,1,sumo,153452#2,153413#12,True,705.5,311877.1049587222,95,649,95229.5
15,1,sumo,153027,-152938#1,True,721.0,396987.878803693,97,668,88759.8
16,1,sumo,-152570,152550,True,837.5,277470.434984598,112,692,109701.3
17,1,sumo,152750#1,-153421#4,True,616.5,462588.96008191135,83,695,129215.2
18,1,sumo,152961,-153648,True,616.5,462588.96008191135,83,,
19,1,sumo,-153457,-153403,True,616.5,462588.96008191135,83,,
20,1,sumo,152851#1,-153381#2,True,596.0,485025.0361336121,80,720,123010.4
21,1,sumo,153479#9,-153391#1,True,596.0,485025.0361336121,80,,
22,1,sumo,-153482#1,152558#6,True,506.0,257821.6064488968,68,745,123110.3
23,1,sumo,-153570,-153033#0,False,,84197.01579342308,10,772,132489.3
24,1,sumo,-152739,-153006#0,True,465.5,241036.95058128127,63,762,135844.8
25,1,sumo,-153435#0,-152664#0,True,845.75,392401.5322612639,113,781,133202.6
26,1,sumo,152639,153366#1,True,513.75,293870.45312263764,69,837,136796.0
27,1,sumo,152931#3,-153329#2,False,,54054.811226897815,7,860,144807.0
28,1,sumo,-152750#2,153023#1,True,543.25,340434.50943150197,73,846,120793.8
29,1,sumo,-153332#0,-152894#0,False,,242152.39811666252,68,866,126290.8
30,1,sumo,-152851#2,-152449,False,,242152.39811666252,68,,
31,1,sumo,153000,153415#2,True,588.25,278353.33265275863,79,857,137958.1
32,1,sumo,-152843#2,153040#1,True,539.5,415324.7956785738,72,845,142413.4
33,1,sumo,-153569#1,153365#0,False,,438423.90341871494,80,853,120790.7
34,1,sumo,152428,-152830#2,True,550.25,380536.4325312894,74,838,123819.9
35,1,sumo,-152372,153628#1,True,560.75,362207.62694964116,75,835,115707.4
36,1,sumo,153064,152670#4,True,889.25,370998.89476775343,119,849,120815.3
37,1,sumo,-153048#1,-153039,False,,181592.00399744266,40,858,119596.1
38,1,sumo,152427,153337,True,644.0,401170.89071412425,86,878,119756.1
39,1,sumo,-152737#0,-152561,False,,61033.06097581491,10,896,110118.1
40,1,sumo,-152413#0,152354#0,False,,61033.06097581491,10,,
41,1,sumo,-152624#1,-153374#4,True,630.0,249855.94851989963,84,881,120575.4
42,1,sumo,153435#0,152480,False,,362703.72913611133,105,914,125337.3
43,1,sumo,152846,-153381#4,True,675.5,552917.5045497013,91,939,128933.1
44,1,sumo,153456#5,152337,True,675.5,552917.5045497013,91,,
45,1,sumo,152644,152827#1,True,826.0,428831.0784633177,111,954,131226.6
46,1,sumo,-153050#0,153423#3,True,539.25,373152.29079132585,72,966,130485.9
47,1,sumo,-152732,152627#1,True,158.75,115975.61799678738,22,951,126249.4
48,1,sumo,153043#0,-152817#0,False,,63201.731968059226,14,972,133993.0
49,1,sumo,152841#1,-153549#1,False,,338965.13547253836,102,1002,147995.2
