trip,arm,origin,dest,arrived,duration_s,fuel_mg,reroutes,driven_edges,bg_vcount_at_depart,bg_possum_at_depart
0,,153452#0,-152457#0,True,790.25,434684.96175769274,0,153452#0|153452#1|153452#2|153451#1|153451#2|153451#3|153451#4|153451#5|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|153383#2|153383#3|153383#4|153383#5|-152246|153369#0|153369#1|152245|152565|152307|-153372#4|-153372#3|-153372#2|153480#0|153480#1|153480#2|153480#3|153480#4|153480#5|153480#6|153480#7|152216|-153378#2|-153378#1|-153378#0|152218|-152578#1|152172|152173|153375|-152457#2|-152457#1|-152457#0,227,34939.3
1,,-153395,152996#8,True,711.5,529942.6253021098,0,-153395|-152252|-152413#3|-152413#2|-152413#1|-152413#0|152412|152444#1|-153435#3|-153435#2|-153435#1|-153435#0|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|-153383#0|-152250|-153385#1|-153385#0|-152251|-153412#5|-153329#5|-153329#4|-153331#11|-153331#10|-153331#9|-153331#8|-153331#7|-153331#6|-153331#5|152996#0|152996#2|152996#3|152996#4|152996#5|152996#6|152996#7|152996#8,228,43015.5
2,,-152574#0,153354#1,True,598.5,258794.5284531933,0,-152574#0|-152624#3|-152624#2|-152624#1|-152624#0|152732|153490#0|153490#1|153490#2|153490#3|153490#4|153490#5|153387#0|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|153383#2|153383#3|153383#4|153383#5|-152246|153369#0|153369#1|152245|152565|152307|-153372#4|-153372#3|-153372#2|-153372#1|-153372#0|152558#1|152558#2|152558#3|152558#5|152558#6|153359#0|153359#1|153354#0|153354#1,231,39363.0
4,,152740,-153421#2,True,563.75,351099.74672995904,0,152740|152374#2|152840|153427#9|153427#10|153427#11|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|-153383#0|-152250|-153385#1|-153385#0|-152251|-153412#5|-153412#4|-153412#3|-153412#2|-153412#1|-153412#0|-152254|-153421#4|-153421#3|-153421#2,255,60575.7
5,,-153427#3,153437,True,608.25,343555.2462314523,0,-153427#3|-152843#2|153063#0|153063#1|153427#4|153427#5|153427#6|153427#7|153427#10|153427#11|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|-153392#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|-153444#0|-153441#3|-153441#2|-153441#1|-153441#0|-153445#1|-153445#0|153003#0|153003#1|153334|153437,244,67549.5
3,,152487#2,152761,True,859.0,544054.9948322594,0,152487#2|152487#3|152750#2|152750#4|152750#5|152750#7|152750#8|-152413#0|152412|-152537|152928#4|152411|152531|152328#1|152288|152855|152210|152536|152394|153641|152330#0|152330#1|152330#2|152330#3|152330#4|152330#5|152166|-153006#3|-153006#2|-153006#1|-153006#0|-152899#1|-152899#0|152402#0|152402#1|152402#2|152938#0|152938#1|152938#2|152419#1|152308|152318#3|152318#4|152309|152312#3|152312#0|152271|152423|152206|-152385|-152293|152794|152292|152800|152291|152761,242,54761.0
6,,153567,152176#1,True,704.75,450014.03502187104,0,153567|152750#4|152750#5|152750#7|152750#8|-152413#0|152412|152444#1|-153435#3|-153435#2|-153435#1|-153435#0|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|-153381#7|-152351|-152442|153381#7|-153383#1|-153386|152176#1,242,61644.2
7,,153332#2,-152912#2,True,707.0,452792.27560236136,0,153332#2|153427#11|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|-153392#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|153444#2|153444#3|153444#4|153444#5|152892#1|-152300|152891#0|152891#1|152399#0|152399#1|152399#2|152901#0|152901#1|152320|152403|152421|152895#2|152982#0|-152912#8|-152912#6|-152912#5|-152912#4|-152912#3|-152912#2,235,66831.0
8,,-153567,153380#1,True,766.25,568668.8318580552,0,-153567|153567|152750#4|152750#5|152750#7|152750#8|-152413#0|152412|152444#1|-153435#3|-153435#2|-153435#1|-153435#0|153451#6|153451#7|153433#1|153424#1|152732|153490#0|153490#1|153490#2|153490#3|153490#4|153490#5|153387#0|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|153383#2|153383#3|153383#4|153383#5|-152246|153369#0|153369#1|152245|152565|152307|-153372#4|-153372#3|-153372#2|153480#0|153480#1|153480#2|153480#3|153480#4|153480#5|153480#6|153480#7|152585#1|152350|152582#0|152582#1|-152590#2|-152590#1|-152590#0|-153380#4|-153380#3|-153380#2|-153380#1|-153380#0|153380#0|153380#1,221,65212.9
10,,-152732,-153372#3,True,529.25,211776.08031463623,0,-152732|-153424#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|153383#2|153383#3|153383#4|153383#5|-152246|153369#0|153369#1|152245|152565|152307|-153372#4|-153372#3,241,53889.5
